OrderID,LineNumber,ClientID,ProductKey,DateCommande,Quantite,PrixUnitaire,Remise,Region,Statut,Canal
CMD00021,1,CL0163,PR0015,2025-08-18,5,17.99,0.13,Est,Annulée,Mobile
CMD00021,2,CL0163,PR0003,2025-08-18,3,17.04,0.00,Est,Livrée,Boutique
CMD00021,3,CL0163,PR0005,2025-08-18,2,15.99,0.03,Est,Livrée,Boutique
CMD00022,1,CL0064,PR0017,2024-02-06,4,13.12,0,Est,Livrée,En ligne
CMD00022,2,CL0064,PR0027,2024-02-06,5,3.52,0.23,Est,Annulée,Mobile
CMD00023,1,CL0115,PR0031,2025-06-27,3,44.13,0,Auvergne-Rhône-Alpes,Livrée,Mobile
CMD00023,2,CL0115,PR0020,2025-06-27,4,20.29,0,Auvergne-Rhône-Alpes,Livrée,Mobile
CMD00024,1,CL0113,PR0032,2024-08-09,1,33.87,0,Occitanie,Livrée,En ligne
CMD00024,2,CL0113,PR0053,2024-08-09,1,43.88,0,Occitanie,En cours,Boutique
CMD00024,3,CL0113,PR0006,2024-08-09,2,22.64,0,Occitanie,En cours,En ligne
CMD00024,4,CL0113,PR0035,2024-08-09,2,29.14,0,Occitanie,Annulée,Boutique
CMD00025,1,CL0097,PR0006,2025-08-25,1,28.86,0.02,Île-de-France,Livrée,En ligne
CMD00026,1,CL0104,PR0041,2024-04-19,5,14.20,0,Île-de-France,Livrée,Boutique
CMD00026,2,CL0104,PR0046,2024-04-19,4,8.32,0,Île-de-France,Livrée,En ligne
CMD00026,3,CL0104,PR0017,2024-04-19,5,28.98,0.20,Île-de-France,Livrée,En ligne
CMD00027,1,CL0191,PR0014,2024-03-03,3,6.55,0,Est,Livrée,Boutique
CMD00027,2,CL0191,PR0059,2024-03-03,1,36.40,0,Est,Livrée,Boutique
CMD00027,3,CL0191,PR0004,2024-03-03,1,14.36,0,Est,Annulée,Mobile
CMD00027,4,CL0191,PR0032,2024-03-03,1,31.83,0,Est,Livrée,Mobile
CMD00028,1,CL0166,PR0033,2024-03-20,3,29.36,0,Sud,Livrée,Boutique
CMD00028,2,CL0166,PR0029,2024-03-20,3,42.33,0,Sud,Annulée,En ligne
CMD00028,3,CL0166,PR0043,2024-03-20,3,12.59,0,Sud,Livrée,Mobile
CMD00029,1,CL0065,PR0059,2025-01-14,4,26.38,0,Occitanie,Annulée,En ligne
CMD00029,2,CL0065,PR0023,2025-01-14,3,13.99,0,Occitanie,En cours,Mobile
CMD00029,3,CL0065,PR0020,2025-01-14,4,5.87,0,Occitanie,Annulée,En ligne
CMD00029,4,CL0065,PR0035,2025-01-14,1,35.09,0,Occitanie,Livrée,Boutique
CMD00030,1,CL0010,PR0031,2025-03-20,4,42.89,0,Nord,En cours,En ligne
CMD00031,1,CL0104,PR0036,2024-02-26,2,5.25,0,Île-de-France,Livrée,En ligne
CMD00031,2,CL0104,PR0044,2024-02-26,1,23.76,0,Île-de-France,Livrée,Mobile
CMD00031,3,CL0104,PR0058,2024-02-26,4,29.85,0.06,Île-de-France,Annulée,Mobile
CMD00032,1,CL0089,PR0003,2025-07-08,1,19.48,0,Occitanie,Livrée,En ligne
CMD00032,2,CL0089,PR0027,2025-07-08,4,33.51,0,Occitanie,Livrée,Mobile
CMD00032,3,CL0089,PR0006,2025-07-08,3,17.08,0,Occitanie,En cours,Mobile
CMD00033,1,CL0131,PR0060,2024-08-21,4,3.34,0,Auvergne-Rhône-Alpes,Annulée,Boutique
CMD00034,1,CL0093,PR0001,2025-02-01,3,22.79,0,Auvergne-Rhône-Alpes,Livrée,Mobile
CMD00035,1,CL0088,PR0058,2025-03-27,1,16.74,0,Ouest,Livrée,En ligne
CMD00036,1,CL0001,PR0026,2024-11-09,2,30.77,0,Île-de-France,Annulée,En ligne
CMD00036,2,CL0001,PR0004,2024-11-09,5,33.80,0,Île-de-France,Livrée,Mobile
CMD00037,1,CL0009,PR0046,2025-05-18,2,26.24,0,Est,Livrée,Boutique
CMD00037,2,CL0009,PR0029,2025-05-18,2,21.40,0,Est,Livrée,Boutique
CMD00037,3,CL0009,PR0053,2025-05-18,1,33.03,0.18,Est,Livrée,Boutique
CMD00038,1,CL0136,PR0010,2025-03-10,3,2.59,0,Bretagne,Annulée,En ligne
CMD00039,1,CL0140,PR0054,2025-07-22,3,14.04,0,Ouest,Livrée,Mobile
CMD00039,2,CL0140,PR0019,2025-07-22,5,24.30,0,Ouest,Livrée,Boutique
CMD00040,1,CL0200,PR0004,2025-12-19,1,41.75,0,Bretagne,Livrée,Boutique
CMD00040,2,CL0200,PR0009,2025-12-19,2,38.98,0,Bretagne,En cours,Mobile
CMD00040,3,CL0200,PR0029,2025-12-19,3,45.28,0,Bretagne,Livrée,Boutique
CMD00040,4,CL0200,PR0048,2025-12-19,5,33.95,0.21,Bretagne,En cours,Boutique
CMD00041,1,CL0093,PR0008,2025-12-27,1,6.20,0.14,Auvergne-Rhône-Alpes,Livrée,En ligne
CMD00041,2,CL0093,PR0039,2025-12-27,3,16.18,0.14,Auvergne-Rhône-Alpes,Livrée,Mobile
CMD00041,3,CL0093,PR0035,2025-12-27,5,38.05,0.24,Auvergne-Rhône-Alpes,Livrée,Boutique
CMD00042,1,CL0107,PR0009,2024-07-27,3,7.02,0.13,Auvergne-Rhône-Alpes,Annulée,En ligne
CMD00042,2,CL0107,PR0011,2024-07-27,5,39.76,0.13,Auvergne-Rhône-Alpes,Livrée,En ligne
CMD00042,3,CL0107,PR0044,2024-07-27,1,37.73,0,Auvergne-Rhône-Alpes,Annulée,Boutique
CMD00043,1,CL0198,PR0044,2024-10-15,3,25.39,0,Sud,En cours,Mobile
CMD00043,2,CL0198,PR0048,2024-10-15,2,20.93,0,Sud,Livrée,Boutique
CMD00043,3,CL0198,PR0018,2024-10-15,2,19.60,0,Sud,Livrée,Mobile
CMD00043,4,CL0198,PR0010,2024-10-15,2,29.36,0,Sud,Livrée,En ligne
CMD00044,1,CL0039,PR0029,2024-03-12,2,20.85,0,Auvergne-Rhône-Alpes,En cours,En ligne
CMD00044,2,CL0039,PR0046,2024-03-12,2,6.20,0,Auvergne-Rhône-Alpes,Livrée,Boutique
CMD00045,1,CL0080,PR0054,2025-06-25,4,29.29,0,Est,Livrée,Mobile
CMD00045,2,CL0080,PR0009,2025-06-25,1,14.71,0,Est,Livrée,En ligne
CMD00045,3,CL0080,PR0011,2025-06-25,5,30.57,0,Est,Livrée,Mobile
CMD00046,1,CL0199,PR0042,2025-10-12,5,32.06,0,Île-de-France,En cours,Boutique
CMD00047,1,CL0196,PR0050,2024-09-20,3,42.99,0,Auvergne-Rhône-Alpes,Livrée,En ligne
CMD00047,2,CL0196,PR0049,2024-09-20,1,17.08,0,Auvergne-Rhône-Alpes,En cours,En ligne
CMD00048,1,CL0134,PR0005,2024-06-23,1,5.48,0,Ouest,Livrée,Boutique
CMD00048,2,CL0134,PR0024,2024-06-23,5,3.42,0,Ouest,Livrée,Mobile
CMD00048,3,CL0134,PR0035,2024-06-23,3,46.14,0,Ouest,Annulée,En ligne
CMD00048,4,CL0134,PR0043,2024-06-23,2,6.72,0,Ouest,Livrée,En ligne
CMD00049,1,CL0023,PR0017,2024-03-28,1,33.98,0,Nord,Annulée,Mobile
CMD00049,2,CL0023,PR0010,2024-03-28,5,20.48,0,Nord,Livrée,Mobile
CMD00049,3,CL0023,PR0036,2024-03-28,4,46.50,0.04,Nord,Livrée,Mobile
CMD00049,4,CL0023,PR0013,2024-03-28,2,29.27,0,Nord,Livrée,Boutique
CMD00050,1,CL0113,PR0024,2024-10-16,5,40.76,0,Occitanie,En cours,Mobile
CMD00050,2,CL0113,PR0018,2024-10-16,5,10.80,0,Occitanie,Livrée,Boutique
CMD00050,3,CL0113,PR0027,2024-10-16,3,45.23,0.19,Occitanie,Livrée,En ligne
CMD00050,4,CL0113,PR0012,2024-10-16,2,15.33,0,Occitanie,En cours,Boutique
CMD00051,1,CL0160,PR0035,2024-12-04,3,4.53,0.02,Bretagne,Livrée,Mobile
CMD00052,1,CL0186,PR0008,2025-01-01,5,24.62,0,Sud,Annulée,Mobile
CMD00052,2,CL0186,PR0049,2025-01-01,3,20.10,0,Sud,Annulée,Boutique
CMD00053,1,CL0127,PR0014,2025-01-09,3,35.34,0,Est,En cours,En ligne
CMD00053,2,CL0127,PR0014,2025-01-09,4,8.01,0,Est,En cours,Mobile
CMD00053,3,CL0127,PR0010,2025-01-09,4,29.73,0,Est,Livrée,Mobile
CMD00054,1,CL0059,PR0013,2025-07-16,3,12.68,0,Est,Livrée,En ligne
CMD00054,2,CL0059,PR0033,2025-07-16,2,43.47,0,Est,Annulée,Boutique
CMD00055,1,CL0126,PR0014,2025-04-11,1,33.54,0,Occitanie,En cours,En ligne
CMD00055,2,CL0126,PR0004,2025-04-11,2,41.35,0,Occitanie,Livrée,Mobile
CMD00056,1,CL0149,PR0045,2024-09-06,2,34.12,0,Est,Livrée,En ligne
CMD00056,2,CL0149,PR0050,2024-09-06,1,19.11,0,Est,En cours,Boutique
CMD00056,3,CL0149,PR0055,2024-09-06,1,23.91,0.22,Est,En cours,Mobile
CMD00057,1,CL0033,PR0016,2024-01-13,2,13.24,0,Auvergne-Rhône-Alpes,Livrée,Boutique
CMD00057,2,CL0033,PR0032,2024-01-13,4,21.39,0.17,Auvergne-Rhône-Alpes,Annulée,Boutique
CMD00057,3,CL0033,PR0011,2024-01-13,4,21.14,0,Auvergne-Rhône-Alpes,En cours,Mobile
CMD00058,1,CL0070,PR0056,2025-06-01,2,16.54,0,Sud,En cours,En ligne
CMD00059,1,CL0198,PR0014,2024-09-16,2,45.65,0,Sud,Annulée,Mobile
CMD00059,2,CL0198,PR0016,2024-09-16,2,39.55,0,Sud,En cours,Boutique
CMD00059,3,CL0198,PR0031,2024-09-16,1,33.07,0,Sud,En cours,Mobile
CMD00059,4,CL0198,PR0015,2024-09-16,2,22.43,0,Sud,En cours,Mobile
CMD00060,1,CL0067,PR0007,2025-10-23,4,27.85,0,Ouest,En cours,Mobile
CMD00060,2,CL0067,PR0010,2025-10-23,5,30.99,0,Ouest,Livrée,Boutique
CMD00060,3,CL0067,PR0036,2025-10-23,5,11.19,0,Ouest,Livrée,En ligne
CMD00061,1,CL0131,PR0001,2024-04-18,3,36.48,0,Auvergne-Rhône-Alpes,Annulée,En ligne
CMD00061,2,CL0131,PR0028,2024-04-18,1,29.43,0,Auvergne-Rhône-Alpes,Livrée,En ligne
CMD00061,3,CL0131,PR0020,2024-04-18,4,35.93,0,Auvergne-Rhône-Alpes,Livrée,Boutique
CMD00061,4,CL0131,PR0015,2024-04-18,2,8.29,0,Auvergne-Rhône-Alpes,Livrée,En ligne
CMD00062,1,CL0049,PR0001,2025-09-17,3,46.77,0,Auvergne-Rhône-Alpes,Livrée,En ligne
CMD00062,2,CL0049,PR0044,2025-09-17,4,3.63,0,Auvergne-Rhône-Alpes,En cours,En ligne
CMD00063,1,CL0132,PR0015,2024-12-02,4,14.06,0,Auvergne-Rhône-Alpes,Livrée,Boutique
CMD00064,1,CL0188,PR0053,2025-02-22,5,25.00,0,Bretagne,Livrée,En ligne
CMD00064,2,CL0188,PR0007,2025-02-22,3,17.17,0,Bretagne,Livrée,Boutique
CMD00064,3,CL0188,PR0020,2025-02-22,1,40.08,0,Bretagne,Livrée,En ligne
CMD00065,1,CL0042,PR0028,2024-06-02,4,31.71,0,Bretagne,Annulée,Boutique
CMD00065,2,CL0042,PR0060,2024-06-02,2,9.08,0,Bretagne,Livrée,Boutique
CMD00066,1,CL0082,PR0023,2025-05-18,3,44.62,0,Bretagne,Livrée,Mobile
CMD00066,2,CL0082,PR0032,2025-05-18,1,41.92,0,Bretagne,Livrée,Boutique
CMD00066,3,CL0082,PR0043,2025-05-18,5,23.01,0.11,Bretagne,Livrée,Mobile
CMD00067,1,CL0019,PR0053,2025-12-23,1,10.83,0,Est,Livrée,Mobile
CMD00068,1,CL0054,PR0020,2024-08-16,5,19.20,0.13,Est,Annulée,En ligne
CMD00068,2,CL0054,PR0001,2024-08-16,3,20.31,0,Est,Livrée,Boutique
CMD00068,3,CL0054,PR0040,2024-08-16,2,43.86,0,Est,Livrée,Boutique
CMD00069,1,CL0149,PR0041,2024-07-08,1,4.33,0,Est,Livrée,Mobile
CMD00069,2,CL0149,PR0056,2024-07-08,3,40.58,0,Est,Livrée,En ligne
CMD00070,1,CL0198,PR0048,2024-08-01,5,5.55,0,Sud,En cours,Mobile
CMD00070,2,CL0198,PR0019,2024-08-01,3,37.66,0,Sud,Annulée,En ligne
CMD00070,3,CL0198,PR0008,2024-08-01,5,18.57,0.12,Sud,Annulée,Boutique
CMD00070,4,CL0198,PR0058,2024-08-01,3,35.14,0.25,Sud,Livrée,En ligne
CMD00071,1,CL0152,PR0013,2025-07-03,2,25.57,0.06,Auvergne-Rhône-Alpes,Annulée,En ligne
CMD00071,2,CL0152,PR0046,2025-07-03,5,26.51,0.18,Auvergne-Rhône-Alpes,Livrée,En ligne
CMD00072,1,CL0134,PR0008,2024-08-17,1,5.19,0,Ouest,Livrée,En ligne
CMD00072,2,CL0134,PR0029,2024-08-17,3,38.36,0,Ouest,Livrée,Mobile
CMD00073,1,CL0124,PR0002,2024-12-02,5,24.55,0,Est,Livrée,En ligne
CMD00074,1,CL0169,PR0007,2024-05-23,4,7.21,0,Bretagne,Livrée,Mobile
CMD00074,2,CL0169,PR0055,2024-05-23,4,18.97,0,Bretagne,Livrée,Mobile
CMD00074,3,CL0169,PR0041,2024-05-23,2,3.00,0,Bretagne,Livrée,Boutique
CMD00074,4,CL0169,PR0033,2024-05-23,1,25.77,0,Bretagne,En cours,En ligne
CMD00075,1,CL0145,PR0050,2025-02-19,2,14.88,0.11,Nord,Livrée,En ligne
CMD00076,1,CL0031,PR0033,2025-01-06,5,14.95,0,Île-de-France,Livrée,En ligne
CMD00077,1,CL0107,PR0059,2025-03-21,2,27.31,0,Auvergne-Rhône-Alpes,Livrée,Boutique
CMD00078,1,CL0127,PR0012,2024-10-06,1,6.36,0,Est,En cours,En ligne
CMD00078,2,CL0127,PR0025,2024-10-06,4,28.79,0,Est,Annulée,Mobile
CMD00078,3,CL0127,PR0020,2024-10-06,1,24.05,0,Est,Livrée,En ligne
CMD00078,4,CL0127,PR0004,2024-10-06,1,36.30,0,Est,Livrée,Boutique
CMD00079,1,CL0138,PR0021,2024-10-10,1,23.33,0,Île-de-France,Livrée,Boutique
CMD00080,1,CL0198,PR0043,2025-12-27,2,45.27,0,Sud,Annulée,En ligne
CMD00080,2,CL0198,PR0012,2025-12-27,1,6.76,0,Sud,Livrée,Mobile
CMD00080,3,CL0198,PR0025,2025-12-27,3,22.32,0,Sud,Livrée,En ligne
CMD00081,1,CL0017,PR0049,2025-04-10,1,20.28,0,Occitanie,Livrée,En ligne
CMD00081,2,CL0017,PR0015,2025-04-10,1,21.43,0,Occitanie,Annulée,Mobile
CMD00082,1,CL0065,PR0015,2024-03-07,3,19.84,0,Occitanie,Annulée,Mobile
CMD00083,1,CL0148,PR0035,2024-12-26,1,33.04,0,Auvergne-Rhône-Alpes,En cours,Mobile
CMD00083,2,CL0148,PR0013,2024-12-26,2,11.69,0,Auvergne-Rhône-Alpes,Livrée,En ligne
CMD00083,3,CL0148,PR0034,2024-12-26,4,34.40,0,Auvergne-Rhône-Alpes,Livrée,Mobile
CMD00083,4,CL0148,PR0039,2024-12-26,5,18.33,0,Auvergne-Rhône-Alpes,Annulée,Boutique
CMD00084,1,CL0176,PR0035,2025-01-18,3,19.14,0,Occitanie,Annulée,En ligne
CMD00084,2,CL0176,PR0027,2025-01-18,4,2.71,0.03,Occitanie,Livrée,En ligne
CMD00084,3,CL0176,PR0043,2025-01-18,1,43.02,0.09,Occitanie,Livrée,En ligne
CMD00084,4,CL0176,PR0029,2025-01-18,5,11.20,0,Occitanie,Livrée,Mobile
CMD00085,1,CL0193,PR0038,2025-02-19,5,15.99,0,Ouest,Livrée,En ligne
CMD00085,2,CL0193,PR0005,2025-02-19,1,32.04,0,Ouest,Livrée,Boutique
CMD00086,1,CL0176,PR0052,2025-05-03,4,17.32,0,Occitanie,Livrée,Boutique
CMD00086,2,CL0176,PR0002,2025-05-03,5,40.18,0,Occitanie,Livrée,Mobile
CMD00086,3,CL0176,PR0036,2025-05-03,3,43.13,0.20,Occitanie,Livrée,Boutique
CMD00087,1,CL0079,PR0039,2024-12-02,3,46.25,0.23,Île-de-France,Annulée,Boutique
CMD00087,2,CL0079,PR0016,2024-12-02,5,41.88,0,Île-de-France,En cours,En ligne
CMD00088,1,CL0092,PR0053,2024-12-18,5,14.90,0,Ouest,Livrée,En ligne
CMD00088,2,CL0092,PR0047,2024-12-18,5,22.17,0,Ouest,Livrée,En ligne
CMD00089,1,CL0108,PR0039,2024-01-09,4,35.82,0,Auvergne-Rhône-Alpes,En cours,En ligne
CMD00089,2,CL0108,PR0022,2024-01-09,5,28.33,0.02,Auvergne-Rhône-Alpes,Annulée,Mobile
CMD00089,3,CL0108,PR0009,2024-01-09,3,44.08,0.10,Auvergne-Rhône-Alpes,Livrée,Boutique
CMD00089,4,CL0108,PR0039,2024-01-09,3,27.18,0,Auvergne-Rhône-Alpes,Annulée,Boutique
CMD00090,1,CL0019,PR0037,2024-07-16,2,43.03,0.00,Est,Livrée,Mobile
CMD00090,2,CL0019,PR0008,2024-07-16,5,9.39,0,Est,Livrée,Boutique
CMD00090,3,CL0019,PR0007,2024-07-16,4,11.78,0,Est,En cours,En ligne
CMD00091,1,CL0130,PR0027,2024-10-13,3,43.73,0,Auvergne-Rhône-Alpes,Livrée,Boutique
CMD00091,2,CL0130,PR0022,2024-10-13,2,22.63,0.14,Auvergne-Rhône-Alpes,En cours,En ligne
CMD00092,1,CL0009,PR0058,2025-04-15,2,34.26,0,Est,En cours,Mobile
CMD00093,1,CL0073,PR0027,2025-04-14,3,39.42,0.03,Nord,Livrée,En ligne
CMD00093,2,CL0073,PR0004,2025-04-14,3,27.22,0.23,Nord,En cours,Boutique
CMD00093,3,CL0073,PR0049,2025-04-14,1,20.76,0,Nord,Livrée,Boutique
CMD00094,1,CL0012,PR0038,2024-01-02,5,21.58,0.05,Auvergne-Rhône-Alpes,En cours,Mobile
CMD00094,2,CL0012,PR0049,2024-01-02,2,38.58,0,Auvergne-Rhône-Alpes,Livrée,Boutique
CMD00095,1,CL0095,PR0015,2025-08-14,4,38.11,0,Île-de-France,En cours,En ligne
CMD00095,2,CL0095,PR0043,2025-08-14,2,30.39,0,Île-de-France,Livrée,Mobile
CMD00095,3,CL0095,PR0053,2025-08-14,1,16.72,0,Île-de-France,Livrée,Boutique
CMD00095,4,CL0095,PR0056,2025-08-14,4,36.97,0,Île-de-France,Annulée,Mobile
CMD00096,1,CL0145,PR0055,2025-10-17,3,44.66,0,Nord,En cours,Mobile
CMD00096,2,CL0145,PR0047,2025-10-17,3,11.27,0,Nord,Livrée,En ligne
CMD00096,3,CL0145,PR0028,2025-10-17,4,33.14,0,Nord,Livrée,En ligne
CMD00097,1,CL0159,PR0032,2024-03-04,2,34.96,0,Auvergne-Rhône-Alpes,Livrée,Mobile
CMD00097,2,CL0159,PR0006,2024-03-04,5,16.15,0.25,Auvergne-Rhône-Alpes,Livrée,En ligne
CMD00097,3,CL0159,PR0001,2024-03-04,2,38.46,0,Auvergne-Rhône-Alpes,Livrée,Boutique
CMD00097,4,CL0159,PR0048,2024-03-04,1,16.18,0,Auvergne-Rhône-Alpes,Livrée,Boutique
CMD00098,1,CL0010,PR0045,2025-08-15,4,3.26,0.22,Nord,En cours,Mobile
CMD00098,2,CL0010,PR0049,2025-08-15,5,14.02,0,Nord,En cours,Mobile
CMD00099,1,CL0035,PR0042,2024-09-19,3,15.26,0,Sud,Livrée,Boutique
CMD00100,1,CL0030,PR0003,2025-07-27,2,16.56,0,Est,Annulée,Mobile
CMD00100,2,CL0030,PR0012,2025-07-27,2,18.32,0.00,Est,Annulée,En ligne
CMD00100,3,CL0030,PR0041,2025-07-27,5,4.83,0,Est,Livrée,En ligne
CMD00101,1,CL0103,PR0041,2024-08-09,5,25.42,0.09,Est,Livrée,En ligne
CMD00101,2,CL0103,PR0044,2024-08-09,2,40.42,0,Est,Livrée,Mobile
CMD00102,1,CL0199,PR0049,2025-06-14,5,43.15,0,Île-de-France,Annulée,En ligne
CMD00102,2,CL0199,PR0049,2025-06-14,2,42.47,0,Île-de-France,Annulée,Boutique
CMD00102,3,CL0199,PR0035,2025-06-14,2,17.58,0,Île-de-France,Livrée,Boutique
CMD00103,1,CL0095,PR0005,2025-11-05,3,4.40,0.25,Île-de-France,Livrée,En ligne
CMD00103,2,CL0095,PR0054,2025-11-05,3,23.91,0,Île-de-France,Livrée,Mobile
CMD00104,1,CL0046,PR0058,2025-08-03,3,10.80,0,Île-de-France,Annulée,Boutique
CMD00104,2,CL0046,PR0005,2025-08-03,1,15.95,0,Île-de-France,Annulée,Mobile
CMD00105,1,CL0064,PR0051,2025-11-28,4,29.57,0,Est,Livrée,Boutique
CMD00105,2,CL0064,PR0020,2025-11-28,5,8.28,0,Est,Livrée,En ligne
CMD00105,3,CL0064,PR0049,2025-11-28,3,2.66,0,Est,Livrée,Mobile
CMD00106,1,CL0060,PR0009,2025-11-21,3,38.77,0,Auvergne-Rhône-Alpes,Annulée,Boutique
CMD00106,2,CL0060,PR0016,2025-11-21,2,32.47,0,Auvergne-Rhône-Alpes,Livrée,Boutique
CMD00106,3,CL0060,PR0029,2025-11-21,5,44.53,0,Auvergne-Rhône-Alpes,Livrée,Mobile
CMD00106,4,CL0060,PR0034,2025-11-21,1,10.12,0.05,Auvergne-Rhône-Alpes,Annulée,Boutique
CMD00107,1,CL0067,PR0031,2024-04-26,2,38.42,0,Ouest,En cours,En ligne
CMD00108,1,CL0054,PR0020,2024-07-10,5,18.10,0.29,Est,En cours,Boutique
CMD00108,2,CL0054,PR0057,2024-07-10,4,29.37,0,Est,Livrée,Boutique
CMD00109,1,CL0041,PR0028,2025-11-18,1,25.87,0,Île-de-France,En cours,Mobile
CMD00110,1,CL0014,PR0043,2024-09-11,5,14.87,0,Occitanie,Livrée,En ligne
CMD00110,2,CL0014,PR0024,2024-09-11,3,15.19,0,Occitanie,Annulée,En ligne
CMD00110,3,CL0014,PR0054,2024-09-11,1,45.14,0,Occitanie,Livrée,Mobile
CMD00111,1,CL0086,PR0026,2025-09-17,2,32.43,0,Bretagne,Livrée,Boutique
CMD00111,2,CL0086,PR0042,2025-09-17,1,40.29,0,Bretagne,Livrée,Mobile
CMD00112,1,CL0096,PR0020,2025-10-24,3,42.98,0,Nord,Livrée,Mobile
CMD00112,2,CL0096,PR0011,2025-10-24,1,44.61,0.11,Nord,Livrée,Mobile
CMD00112,3,CL0096,PR0015,2025-10-24,1,3.04,0,Nord,Livrée,En ligne
CMD00113,1,CL0145,PR0021,2024-02-27,2,25.09,0,Nord,Livrée,En ligne
